1	The large muscle in the human trunk exist. ..	entity
2	The process cells replicate DNA called. ..	entity
3	The primary official nomenclature speak in Brazil personify. ..	entity
4	Is the Himalaya mountains the youngest mountain chain of mountains on World?	yes_no
5	Are electrons smaller in quite a little compare to protons?	yes_no
6	If philosophers never recorded their debates, would we still know their ideas?	yes_no
7	Could autonomous accidents caused by human?	yes_no
8	Carbon dioxide a role in the effect?	yes_no
9	Does DNA represent deoxyribonucleic acid?	yes_no
10	Figure a widely use programming terminology created in the nineties.	entity
11	"Name the author of ""The Miserables."""	entity
12	Do polar bears primarily inhabit the Arctic region?	yes_no
13	"""Philosopher who  on First Philosophy . .."""	entity
14	"""If Earth  s were thicker, greenhouse greater warming effect?"""	yes_no
15	Could renewable energy technologies solve the global energy crisis?	yes_no
16	The capital Korea is. ..	entity
17	The philosopher known for the allegory of the cave is...	entity
18	Are camels well - environments?	yes_no
19	Could renewable vigor root meet world vim demands in the future?	yes_no
20	The process by which cells create energy in the presence of oxygen is called...	entity
21	Isnt it true that Isaac Newton formulated the law of universal gravity?	yes_no
22	Can survive for more than week?	yes_no
23	Could it be possible for the transistor to be a pivotal invention in modern electronics?	yes_no
24	The Great Reef suffer bleaching due to rising temperatures?	yes_no
25	Can plants communicate with each other through chemical signals?	yes_no
26	Am I capable of mastering complex mathematical concepts with dedication?	yes_no
27	Does a solar eclipse occur when the Moon passes between the Earth and the Sun?	yes_no
28	Name the inventor of the plane.	entity
29	Does the ozone layer protect the Earth from harmful ultraviolet radiation?	yes_no
30	The process by which plants absorb sunlight to produce energy is called...	entity
31	The capital of South Korea is...	entity
32	The ancient trade network connect Mainland china to the Mediterranean sea be call in the. ..	entity
33	The capital of Japan is...	entity
34	Which device can convert mechanical energy into electrical energy?	entity
35	The process by which green plants release oxygen through the pores in their leaves is called...	entity
36	"""Does nitrogen gas make the Earth  atmosphere?"""	yes_no
37	Is Mount Kilimanjaro the highest peak in Africa?	yes_no
38	Does methane gas contribute to the greenhouse effect more than carbon dioxide?	yes_no
39	Did the Industrial Revolution begin in the 18th century?	yes_no
40	Isnt it true that Pablo Picasso was a pioneer of Cubist art?	yes_no
41	Could advancements in nanotechnology lead to breakthroughs in medicine?	yes_no
42	If humans had no sense of smell, would information technology affect their power to savour food?	yes_no
43	Could it be possible that Mars once sheltered liquid water under its surface conditions?	yes_no
44	"Identify the philosopher known for the work ""Being and Nothingness."""	entity
45	The invention that revolutionized the production of books in the 15th century was the...	entity
46	The ancient network connecting to is called. ..	entity
47	All snakes?	yes_no
48	Had Alexander Graham Bell discovered the phone earlier, would it have had an impact on the development of communication technologies?	yes_no
49	Did ancient Egyptians use papyrus as writing material?	yes_no
50	Which carved the monumental known as Easter Island?	entity
51	Which African country is home to Serengeti National Park?	entity
52	Is the theory of general relativity part of Einsteins contributions to physics?	yes_no
53	Could space exploration lead to the discovery of extraterrestrial life?	yes_no
54	Renewable energy sources eliminate for fossil fuels entirely?	yes_no
55	"Identify known the "" Leviathan. """	entity
56	Had Johannes Gutenberg not invented printing, would the dissemination of information have been slower?	yes_no
57	Could become a viable in future?	yes_no
58	"Identify philosopher known for "". """	entity
59	Is the Andes chain located in North America?	yes_no
60	Be Saddle horse Prunus incisa the highest mountain in Japan?	yes_no
61	The civilization that built the pyramids.	entity
62	Does the chemical symbol Fe represent the iron element?	yes_no
63	Doe methane gas contribute to globular warming?	yes_no
64	Isnt it true that Machu Picchu is located in Peru?	yes_no
65	Could advancements in nanotechnology in medicine?	yes_no
66	List two European languages that do not share the Latin alphabet.	entity
67	"Identify the composer of the ""Four Seasons""."	entity
68	Name the ancient civilization that built the Colosseum in Rome.	entity
69	All reptiles -?	yes_no
70	The scientist who developed the theory of relativity was...	entity
71	Distinguish the scientist who discover penicillin.	entity
72	The process which plants is. ..	entity
73	Could artificial intelligence systems develop consciousness in the future?	yes_no
74	Does the human body use to a greater extent energy while at residuum than during any physical natural process?	yes_no
75	The smallest bone in the human body is...	entity
76	Identify the mathematician who is known for his contribution to calculus and analytical geometry.	entity
77	Should governments prioritize funding for space geographic expedition complete other scientific effort?	yes_no
78	Name the SI unit of electric current.	entity
79	Identify the five largest countries by land area.	entity
80	Name the inventor of the sluttish light bulb.	entity
81	"Identify the author of ""1984"" and ""Animal Farm."""	entity
82	Earliest known civilization in Mesopotamia the. ..	entity
83	"Identify the source of "" Brave New Mankind. """	entity
84	If the speed of light is constant in all inertial settings, would this mean a dilation of time at high speeds?	yes_no
85	Should educational institutions integrate more STEM (Science, Technology, Engineering, Mathematics) programs?	yes_no
86	Concept the computer is often attributed work of. ..	entity
87	The brightest star visible in the Earths night sky is...	entity
88	Could renewable energy infrastructure create new job opportunities globally?	yes_no
89	Isnt it true that Mount Everest is located in Asia?	yes_no
90	Could artificial intelligence surpass human intelligence in complex decision-making tasks?	yes_no
91	Photosynthesis occur both plants and certain bacteria?	yes_no
92	Largest desert Earth is. ..	entity
93	Name the first person to walk on the Moon.	entity
94	Had Nikola Tesla focused solely on electrical engineering, would his contribution to technology have been different?	yes_no
95	If humans could hole up, would it cut free energy uptake during winter months?	yes_no
96	There undiscovered species living in the parts the?	yes_no
97	Is the Great Barrier threatened by rising ocean temperatures?	yes_no
98	Is it true that the Great Wall of China is visible from space to the naked eye?	yes_no
99	The largest internal organ in the human body is...	entity
100	Had the Titanic not sunk, would the transatlantic journey have evolved differently?	yes_no
101	"The who wrote "" of Reason. """	entity
102	If humans could breathe in unprotected space, would space travel become much easier?	yes_no
103	Is commonly utilized semiconductor in electronics?	yes_no
104	The largest living structure. ..	entity
105	"Name of "" War Peace. """	entity
106	If humankind could rejuvenate their pelt apace, how would it touch on medical treatments?	yes_no
107	"""The Earth  s were to slow down, become longer?"""	yes_no
108	What ancient civilization built the Great Pyramids in Giza?	entity
109	"""Photosynthesis producing the oxygen in Earth  atmosphere?"""	yes_no
110	"""If the Moon were, the Earth  s tides?"""	yes_no
111	Is it true that global warming have represent relate to increased glasshouse gas pedal emissions from human activities?	yes_no
112	"Identify the philosopher world health organization write "" Thus Wheel spoke Zarathustra. """	entity
113	Has Isaac Newton developed the laws of the movement independently of Galileo?	yes_no
114	The civilization that built of Athens.	entity
115	Is Mount Kilimanjaro located on the African continent?	yes_no
116	Is the Big Bang theory supported by cosmic microwave background radiation evidence?	yes_no
117	Does the human body consume more energy at rest than during physical activity?	yes_no
118	The chapiter city of Confederate states of america Han gook is. ..	entity
119	Public figure the philosopher have a go at it for the categorical imperative.	entity
120	"What chemical element has the symbol ""Au""?"	entity
121	Be the Virago Rain forest located primarily in Brazil?	yes_no
122	Is quantum entanglement a phenomenon where particles remain connected independently of distance?	yes_no
123	"The philosopher who wrote ""Meditations on the First Philosophy"" was..."	entity
124	The theory most widely accepted explanation for the origin the universe?	yes_no
125	Could renewable energy technologies resolve the global push crisis?	yes_no
126	Would introducing more green spaces in urban areas improve public health?	yes_no
127	Formulated the three laws of classical mechanics?	entity
128	Must lodge change to adapt to the increasing presence of stilted intelligence activity?	yes_no
129	Rome a city located Italy?	yes_no
130	The philosopher who wrote Meditations on First Philosophy was...	entity
131	Can renewable energy technologies become sufficiently cost-effective to be the worlds primary energy source?	yes_no
132	The philosopher known for the parable of the cave make up. ..	entity
133	Could climate change lead to the extinction of certain plant and animal species?	yes_no
134	Does methane gas contribute to global warming?	yes_no
135	Which 20th - c figure is credit with developing the poliomyelitis vaccinum?	entity
136	"""If Earth  were to change, would affect of seasons?"""	yes_no
137	Are there more than triplet types of cloud in meteorology?	yes_no
138	The capital city of Egypt is...	entity
139	Are active volcanoes the?	yes_no
140	Name an ancient language that has significantly influenced several modern European languages.	entity
141	The largest planet in our solar system is...	entity
142	The city Italy. ..	entity
143	Does the unconscious process of nuclear optical fusion release more energy than nuclear nuclear fission?	yes_no
144	"Name the element with the chemical symbol ""Na""."	entity
145	The splitting nuclei to release energy as. ..	entity
146	Does layer help protect Earth from rays?	yes_no
147	Could artificial news assist in curing complex diseases?	yes_no
148	Ar all reptiles cold - blooded beast?	yes_no
149	The process by which works convert sun into chemical energy be call. ..	entity
150	Are dolphins considered mammals?	yes_no
151	Water vapor to the greenhouse?	yes_no
152	Could renewable push sources whole replace fossil fuels in the adjacent century?	yes_no
153	Be the Andes Quite a little located in South America?	yes_no
154	Does the ozone layer primarily absorb ultraviolet radiation from the Sun?	yes_no
155	Could virtual realness inspire education and training?	yes_no
156	The Inca citadel perched high Andes of Peru. ..	entity
157	The traditional Japanese robe often worn.	entity
158	Is Taj Mahal considered a UNESCO World Heritage Site?	yes_no
159	The process by which green plants release oxygen through pores in their leaves is called...	entity
160	Is the speed of sound faster than the speed of light?	yes_no
161	Name the ancient civilization that ramp up the Amphitheatrum flavium in Rome.	entity
162	""" it true that Cleopatra member of Ptolemaic Dynasty?"""	yes_no
163	Is it possible that the Great Wall of China cannot be seen from space to the naked eye?	yes_no
164	The process by which plants convert sunlight into chemical energy is known as...	entity
165	Key the antediluvian Hellenic philosopher who was the instructor of Aristotle.	entity
166	"Distinguish the author of "" The Divine Drollery. """	entity
167	Does the human consistency contain more than than 200 bone?	yes_no
168	Does DNA stand for Deoxyribonucleic Acid?	yes_no
169	Are all reptiles cold-blooded?	yes_no
170	Which ancient civilization constructed Machu Picchu?	entity
171	Could renewable energy sources eliminate the need for fossil fuels entirely?	yes_no
172	Do honeybees play crucial role in pollinating biodiversity?	yes_no
173	Is the Great Barrier made up mainly of coral polyps?	yes_no
174	Does water expand when it freezes, making ice less dense than liquid water?	yes_no
175	"Identify the author of ""The Divine Comedy."""	entity
176	Is the in Paris, France?	yes_no
